City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
157,Hay River,CA,60.8156,-115.7999,43.77,90,100,6.96,light rain
158,Komsomolskiy,UZ,40.4272,71.7189,74.12,46,96,2.3,overcast clouds
159,Poya,NC,-21.35,165.15,82.42,57,69,2.8,broken clouds
160,Ios,GR,36.7333,25.2833,71.67,61,0,4.0,clear sky
161,Cubara,CO,7.0008,-72.1085,73.51,93,100,3.36,light rain
162,Lompoc,US,34.6391,-120.4579,63.57,78,40,17.27,scattered clouds
163,Bozeman,US,45.6796,-111.0386,65.62,48,0,6.91,clear sky
164,Ayan,RU,56.45,138.1667,34.18,87,99,7.72,overcast clouds
165,Tatawin,TN,32.9297,10.4518,71.17,33,45,6.4,scattered clouds
166,Russell,US,32.3502,-85.1999,74.43,64,0,0.0,clear sky
167,Bilma,NE,18.6853,12.9164,85.77,13,41,9.4,scattered clouds
168,Bursa,TR,40.1667,29.0833,42.84,59,0,3.47,clear sky
169,Kuldur,RU,49.2167,131.6333,57.33,25,1,8.46,clear sky
170,Weihe,CN,32.9952,105.3247,53.94,96,100,1.3,overcast clouds
171,Kuytun,RU,54.3419,101.5036,70.25,38,20,4.92,few clouds
172,Eyl,SO,7.9803,49.8164,82.17,66,6,21.61,clear sky
173,Port Macquarie,AU,-31.4333,152.9167,69.89,56,18,6.44,few clouds
174,Reading,GB,51.4562,-0.9711,55.74,84,8,3.0,clear sky
175,Malartic,CA,48.1335,-78.1328,43.02,67,57,9.55,broken clouds
176,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,72.68,100,100,1.97,light rain
177,Cap Malheureux,MU,-19.9842,57.6142,69.48,71,0,4.0,clear sky
178,Jumla,NP,29.2747,82.1838,61.05,48,3,0.85,clear sky
179,Airai,TL,-8.9266,125.4092,73.26,54,23,4.16,few clouds
180,Ilulissat,GL,69.2167,-51.1,30.22,80,33,0.0,scattered clouds
181,Hobyo,SO,5.3505,48.5268,79.56,79,5,23.17,clear sky
182,La Peca,PE,-5.6111,-78.435,67.35,91,100,2.21,overcast clouds
