City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
91,San Cristobal,VE,67.78,overcast clouds,7.7669,-72.225,Pirineos
92,East London,ZA,68.38,clear sky,-33.0153,27.9116,Tu Casa
93,Kruisfontein,ZA,67.59,clear sky,-34.0033,24.7314,Oyster Bay House Rental
94,Atuona,PF,79.09,clear sky,-9.8,-139.0333,Villa Enata
99,Avarua,CK,84.25,broken clouds,-21.2078,-159.775,Paradise Inn
100,Esperance,AU,66.04,clear sky,-33.8667,121.9,Hospitality Esperance
101,Cabo San Lucas,MX,76.6,overcast clouds,22.8909,-109.9124,Vista Roof Restaurant
102,Galle,LK,80.53,broken clouds,6.0367,80.217,Amangalla
105,Japura,ID,83.7,broken clouds,-0.3167,102.35,Rumah mbah Jamah
107,Hervey Bay,AU,77.02,broken clouds,-25.2986,152.8535,Shelly Bay Resort
108,Candido Mendes,BR,75.52,broken clouds,-1.4467,-45.7167,Quebrada Do Mlk PJL
109,Santa Ana,US,74.57,scattered clouds,33.7456,-117.8678,"Motel 6 Santa Ana, CA"
111,Le Port,RE,71.56,few clouds,-20.9373,55.2919,KORBEY D'OR OUEST
113,Camargo,MX,81.9,broken clouds,27.6667,-105.1667,Hotel Santa Fe
114,Bosaso,SO,84,few clouds,11.2842,49.1816,Red Sea Hotel
115,Birao,CF,80.4,overcast clouds,10.2849,22.7882,La Tosca
118,Riohacha,CO,79.9,overcast clouds,11.5444,-72.9072,Hotel Taroa
121,Arlit,NE,82.2,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
122,Lumberton,US,70.83,clear sky,34.6182,-79.0086,"Country Inn & Suites by Radisson, Lumberton, NC"
123,Puerto Ayora,EC,73.54,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
124,Pula,HR,66.76,clear sky,44.8683,13.8481,Park Plaza Histria Pula
126,Bloomingdale,US,81.05,clear sky,27.8936,-82.2404,Travel Club for Free
129,Hasaki,JP,75.29,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
130,Pedernales,DO,81.25,overcast clouds,18.0384,-71.744,Hotel Costa Marina
131,Meadow Lake,US,83.68,clear sky,34.8014,-106.5436,TumbleWeed RV Park
133,Acapulco,MX,82.08,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
135,Bredasdorp,ZA,70.68,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
136,Alofi,NU,78.69,broken clouds,-19.0595,-169.9187,Taloa Heights
137,Nelson Bay,AU,66,clear sky,-32.7167,152.15,Mantra Nelson Bay
139,Flinders,AU,68.38,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
144,Zhuhai,CN,79.86,clear sky,22.2769,113.5678,珠海粤财假日酒店
145,Yuci,CN,71.35,clear sky,37.6803,112.7319,Thank Inn Plus Hotel Shanxi Jinzhong Yuci District Yingbin West Street Yinhaixinyue
147,Sinnamary,GF,79.03,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
148,Yenagoa,NG,76.48,broken clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
149,Mayo,US,71.55,clear sky,38.8876,-76.5119,Resorts Resource Group International
150,Sparks,US,79.81,smoke,39.5349,-119.7527,Nugget Casino Resort
156,Amapa,BR,73.08,light rain,1,-52,Amapa Plaza
158,Komsomolskiy,UZ,74.12,overcast clouds,40.4272,71.7189,Ikathouse
159,Poya,NC,82.42,broken clouds,-21.35,165.15,Koulnoue Village
160,Ios,GR,71.67,clear sky,36.7333,25.2833,Ios Palace Hotel & Spa
161,Cubara,CO,73.51,light rain,7.0008,-72.1085,Hotel Los Amigos
163,Bozeman,US,65.62,clear sky,45.6796,-111.0386,Homewood Suites by Hilton Bozeman
165,Tatawin,TN,71.17,scattered clouds,32.9297,10.4518,Sangho Privilege Tataouine
166,Russell,US,74.43,clear sky,32.3502,-85.1999,Macs
171,Kuytun,RU,70.25,few clouds,54.3419,101.5036,Gostinitsa Tsentral'naya
172,Eyl,SO,82.17,clear sky,7.9803,49.8164,Amiin Hotel
