City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
645,Yerbogachen,RU,66.63,overcast clouds,61.2767,108.0108,
646,Kitoy,RU,65.28,broken clouds,52.6,103.9,Hostel in Maysk
647,American Fork,US,73.04,broken clouds,40.3769,-111.7958,"Holiday Inn Express & Suites American Fork- North Provo, an IHG Hotel"
649,Abnub,EG,70.02,clear sky,27.2696,31.1511,مضيفت اولاد احمد ابو حسين
652,Sao Joao Da Barra,BR,66.13,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
653,Huejuquilla El Alto,MX,69.37,overcast clouds,22.6,-103.8667,Hotel Huexuquillan
654,Acajutla,SV,82.47,scattered clouds,13.5928,-89.8275,Laureles
655,Luanda,AO,78.8,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
656,Palauig,PH,83.57,overcast clouds,15.435,119.9045,Alperi Botique Resort
659,Joao Camara,BR,71.98,overcast clouds,-5.5375,-35.8197,Pousada Miguel Teixeira
660,Boueni,YT,80.58,broken clouds,-12.9025,45.0761,The feet in water
662,Isangel,VU,79.81,broken clouds,-19.55,169.2667,Tanna Lodge
666,Priiskovyy,RU,69.15,overcast clouds,51.9333,116.6333,
668,Lashio,MM,80.13,overcast clouds,22.9333,97.75,Hotel CF Lashio - Burmese Only
669,Sal Rei,CV,72.55,overcast clouds,16.1833,-22.9167,Marine Club Beach Resort
673,Lodwar,KE,78.82,broken clouds,3.1191,35.5973,Solmar Gracious Hotel
677,Tefe,BR,71.62,light rain,-3.3542,-64.7114,Aracati Hotel
685,Dabakala,CI,77.22,overcast clouds,8.3667,-4.4333,Hôtel Campement
687,Aquiraz,BR,80.69,broken clouds,-3.9014,-38.3911,Pousada Rua Camurupim
688,Kasongo-Lunda,CD,73.47,overcast clouds,-6.4667,16.8167,
689,Srivardhan,IN,84.99,overcast clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
690,Kachug,RU,70.93,overcast clouds,53.9606,105.8817,"The hotel ""Empire"""
692,Boguchany,RU,76.24,few clouds,58.3814,97.4531,Uyut
693,Jizan,SA,79.74,few clouds,17.3333,42.6667,شهدان. ابوالحجر
695,Ihiala,NG,73.69,overcast clouds,5.8538,6.8603,Tony King Suites Limited
696,Nancha,CN,69.93,clear sky,47.1333,129.2667,Communications Hotel
698,Uarini,BR,71.73,moderate rain,-2.99,-65.1083,
701,Hailin,CN,68.65,overcast clouds,44.5833,129.4167,Grand Legend Hotel
703,Morehead,US,69.78,clear sky,37.2711,-87.1764,CCI Express Inn
705,Lhokseumawe,ID,83.97,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
708,Phangnga,TH,84.24,overcast clouds,8.4509,98.5298,Sunimit Mansion
710,Urumqi,CN,74.35,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
